Continent,Pays,Ville,Latitude,Longitude
Afrique,Maroc,Casablanca,33.53333,-7.58333
Afrique,Maroc,Rabat,34.02083,-6.84167
Afrique,Maroc,Oujda,34.68667,-1.91139
Afrique,Maroc,Marrakech,31.63000,-8.00889
Afrique,Maroc,Fes,34.03333,-50.00000
Afrique,Maroc,Tanger,35.76611,-5.80000
Afrique,Maroc,Salé,34.03333,-6.80000
Afrique,Maroc,Meknes,33.89500,-5.55472
Afrique,Maroc,Agadir,30.43278,-9.60000
Afrique,Maroc,Kenitra,34.26528,-6.57806
Afrique,Maroc,Tetouan,35.56667,-5.36667
Afrique,Maroc,Safi,32.28333,-9.23333
Afrique,Maroc,Temara,33.92611,-6.91222
Afrique,Maroc,Beni Mellal,32.33944,-6.36083
Afrique,Maroc,Mohamedia,33.68333,-7.38333
Afrique,Maroc,Khouribga,32.88972,-6.90694
Afrique,Maroc,Nador,35.16667,-2.93333
Afrique,Maroc,El Jadida,33.23333,-8.50000
Afrique,Maroc,Taza,34.22417,-4.00667
Afrique,Maroc,Ait Melloul,30.33444,-9.49722
Afrique,Maroc,Larache,35.18389,-6.15000
Afrique,Maroc,Settat,35.00001,-7.61667
Afrique,Maroc,Khemisset,33.81667,-6.06667
Afrique,Maroc,Errachidia,31.93194,-4.42444
Afrique,Maroc,Berkane,33.26611,-7.58333
Afrique,Maroc,Sidi Slimane,34.26000,-5.92000
Afrique,Maroc,Sidi kacem,34.21667,-5.70000
Afrique,Maroc,Taroudante,30.46611,-8.86667
Afrique,Maroc,Essaouira,31.51306,-9.76972
Afrique,Maroc,Sefrou,33.82944,-4.83944
Afrique,Maroc,Tan Tan,28.43333,-11.10000
Afrique,Maroc,Tiznit,29.70722,-9.73333
Afrique,Maroc,Al Hoceima,35.25000,-3.93333
Afrique,Maroc,Ouarzazate,30.92000,-6.89389
Afrique,Maroc,Azrou,33.44167,-5.22472
Afrique,Maroc,Skhirate,33.85000,-7.03000
Afrique,Maroc,Kasba Tadla,32.60000,-6.26667
Afrique,Maroc,Azemmour,33.28806,-8.34222
Afrique,Maroc,Tinghir,31.51472,-5.53278
Afrique,Maroc,Asilah,35.46694,-6.03306
Afrique,Maroc,Bouznika,33.79000,-7.15722
Afrique,Maroc,Bouarfa,32.53083,-1.96500
Afrique,Maroc,Sidi Ifni,29.38417,-10.17583
Afrique,Maroc,Tata,29.74278,-7.97250
Afrique,Maroc,Bouskoura,33.44889,-7.64861
Afrique,Maroc,Ifrane,33.53278,-5.11667
Afrique,Maroc,Tarfaya,27.93583,-12.91861
Afrique,Maroc,Ait Baha,31.58333,-5.58333
Afrique,Maroc,Saidia,35.08500,-2.23917
Afrique,Maroc,Bir–Jdid,33.37389,-8.00000
Afrique,Maroc,Guelmim,28.98333,-10.06667
Afrique,Maroc,Ben Slimane,33.61667,-7.11667
